,congdist,geoid
1071,2.0,008-ABS
1072,2.0,008-ACO
1073,2.0,008-ACO
1074,2.0,008-ACP
1075,2.0,008-ACP
1076,2.0,008-ABI
1077,2.0,008-ABI
1078,2.0,008-AAG
1079,2.0,008-AAG
1080,2.0,008-AAH
1081,2.0,008-AAH
1082,2.0,008-AAM
1083,2.0,008-AAM
1084,2.0,008-ACH
1085,2.0,008-ACH
1086,2.0,008-ACI
1087,2.0,008-ACI
1088,2.0,008-ACJ
1089,2.0,008-ACJ
1090,2.0,008-ACK
1091,2.0,008-ACK
1092,2.0,008-ACG
1093,2.0,008-ACG
1094,2.0,008-AAJ
1095,2.0,008-AAJ
1096,2.0,008-AAW
1097,2.0,008-AAW
1098,2.0,008-AAY
1099,2.0,008-AAY
1100,2.0,008-ACL
1101,2.0,008-ACL
1102,2.0,008-AAV
1103,2.0,008-AAV
1104,2.0,008-ACM
1105,2.0,008-ACM
1106,2.0,008-ACN
1107,2.0,008-ACN
1108,2.0,008-ACQ
1109,2.0,008-ACQ
1110,2.0,008-ACU
1111,2.0,008-ACU
1112,2.0,008-ABP
1113,2.0,008-ABP
1114,2.0,008-ACR
1115,2.0,008-ACR
1116,2.0,008-ACS
1117,2.0,008-ACS
1118,2.0,008-ACT
1119,2.0,008-ACT
1120,2.0,008-ABV
1121,2.0,008-ABV
1122,2.0,008-ACV
1123,2.0,008-ACV
1124,2.0,008-ACW
1125,2.0,008-ACW
1126,8.0,009-AAC
1127,,009-AAC
1128,8.0,009-AAB
1129,,009-AAB
1130,8.0,009-ABC
1131,,009-ABC
1132,8.0,009-ABD
1133,,009-ABD
1134,8.0,009-ALD
1135,,009-ALD
1136,8.0,009-AAL
1137,,009-AAL
1138,8.0,009-AAT
1139,,009-AAT
1140,8.0,009-ALF
1141,,009-ALF
1142,8.0,009-AAM
1143,,009-AAM
1144,8.0,009-AAU
1145,,009-AAU
1146,8.0,009-ABH
1147,,009-ABH
1148,8.0,009-AAK
1149,,009-AAK
1150,8.0,009-AAN
1151,,009-AAN
1152,8.0,009-AAV
1153,,009-AAV
1154,8.0,009-ABI
1155,,009-ABI
1156,8.0,009-AAD
1157,,009-AAD
1158,8.0,009-AAO
1159,,009-AAO
1160,8.0,009-AAW
1161,,009-AAW
1162,8.0,009-ABJ
1163,,009-ABJ
1164,8.0,009-AAE
1165,,009-AAE
1166,8.0,009-AAP
1167,,009-AAP
1168,8.0,009-AAX
1169,,009-AAX
1170,8.0,009-ABK
1171,,009-ABK
1172,8.0,009-AAF
1173,,009-AAF
1174,8.0,009-AAQ
1175,,009-AAQ
1176,8.0,009-AAY
1177,,009-AAY
1178,8.0,009-ABL
1179,,009-ABL
1180,8.0,009-AAG
1181,,009-AAG
1182,8.0,009-AAR
1183,,009-AAR
1184,8.0,009-AAZ
1185,,009-AAZ
1186,8.0,009-ABM
1187,,009-ABM
1188,8.0,009-AAH
1189,,009-AAH
1190,8.0,009-AAS
1191,,009-AAS
1192,8.0,009-ABA
1193,,009-ABA
1194,8.0,009-ABN
1195,,009-ABN
1196,8.0,009-AAI
1197,,009-AAI
1198,8.0,009-ALE
1199,,009-ALE
1200,8.0,009-ABO
1201,,009-ABO
1202,8.0,009-AFO
1203,,009-AFO
1204,8.0,009-AFX
1205,,009-AFX
1206,8.0,009-AFY
1207,,009-AFY
1208,8.0,009-AFZ
1209,,009-AFZ
1210,8.0,009-AGA
1211,,009-AGA
1212,8.0,009-AKW
1213,,009-AKW
1214,8.0,009-ALG
1215,,009-ALG
1216,8.0,009-ALH
1217,,009-ALH
1218,8.0,009-ALI
1219,,009-ALI
1220,8.0,009-ALP
1221,,009-ALP
1222,8.0,009-AME
1223,,009-AME
1224,8.0,009-AFP
1225,,009-AFP
1226,8.0,009-AFQ
1227,,009-AFQ
1228,8.0,009-AFR
1229,,009-AFR
1230,8.0,009-AFS
1231,,009-AFS
1232,1.0,009-AFT
1233,1.0,009-AFT
1234,8.0,009-AFT
1235,,009-AFT
1236,8.0,009-AFU
1237,,009-AFU
1238,8.0,009-AFV
1239,,009-AFV
1240,8.0,009-AFW
1241,,009-AFW
1242,8.0,009-ABZ
1243,,009-ABZ
1244,8.0,009-ACA
1245,,009-ACA
1246,8.0,009-ACB
